title,prediction
Still Time,Teen
Surf World Series,Everyone
The Metronomicon: Slay the Dance Floor,Everyone 10+
Windjammers,Everyone
Rock of Ages Everyone 10+: Bigger and Boulder,Everyone 10+
South Park: The Fractured but Whole ,Mature
Dishonored: Death of the Outsider,Mature
Battle of the Bulge,Everyone 10+
FEveryone Everyone 10+0Everyone7,Everyone
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM Everyone 10+,Everyone 10+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM Mature Full Burst,Teen
NARUTO™: Ultimate Ninja® STORM,Everyone 10+
NeverEnd,Everyone 10+
One Piece: Unlimited World Red Deluxe Edition,Everyone 10+
Outcast - Second Contact,Teen
Path of Exile,Mature
South Park: The Stick of Truth,Mature
Realms of Arkania - Blade of Destiny,Teen
ACA NEOGEO PUZZLED,Everyone
Axiom Verge,Everyone 10+
Blacksea Odyssey ,Teen
ChromaGun,Everyone 10+
Mages of Mystralia,Everyone 10+
Bleed,Teen
Duck Game,Everyone 10+
Knack Everyone 10+,Everyone 10+
Madden NFL Everyone8 G.O.A.T. Edition,Everyone 10+
Marvel's Guardians of the Galaxy: The Telltale Series – More than a Feeling,Teen
Middle-Earth: Shadow of War,Mature
Raiden V: Director's Cut,Everyone 10+
Soul Dimension,Teen
Super Comboman: Smash Edition,Everyone 10+
SwapQuest,Everyone 10+
The Book of Regrets,Teen
The Escapists Everyone 10+,Everyone 10+
Uncharted: The Lost Legacy,Teen
RAID: WORLD WAR II,Mature
Minecraft: Story Mode - Season Two - Season Pass,Everyone 10+
Gran Turismo Sport,Everyone
BLUE REFLECTION™,Everyone 10+
ACA NEOGEO MAGICIAN LORD,Teen
Limbo,Everyone
Madden NFL Everyone8,Everyone 10+
>Observer_,Mature
MatureD MiniGolf,Everyone
Dark Mystery,Everyone
Defenders of Ekron,Teen
Eliosi's Hunt,Everyone 10+
Matterfall,Everyone 10+
Minecraft: Story Mode - Season Two - Episode Everyone 10+: Giant Consequences,Everyone 10+
Nidhogg Everyone 10+,Teen
Night Trap - Everyone 10+5th Anniversary Edition,Teen
Paranormal Activity: The Lost Soul,Teen
Undertale,Everyone 10+
Dragon's Dogma: Dark Arisen,Mature
The Girl and the Robot,Everyone 10+
GUNDAM VERSUS,Everyone 10+
ACA NEOGEO THE KING OF FIGHTERS '96,Teen
Battlefield Everyone Revolution,Teen
.hack//G.U. Last Recode,Everyone 10+
Pro Evolution Soccer Everyone 10+0Everyone8 ,Everyone
Batman: The Enemy Within - Season Pass,Teen
Comet Crash Everyone 10+: The Kronkoid Wars,Everyone 10+
Graceful Explosion Machine,Everyone
Hellblade: Senua's Sacrifice,Mature
ICEY,Everyone 10+
Masquerada: Songs and Shadows,Teen
Neon Drive,Everyone
Neptune Flux,Everyone
Project CARS Everyone 10+,Everyone
Transport Giant,Everyone
Cat Quest,Everyone 10+
Battle Chasers: Nightwar,Everyone 10+
ACA NEOGEO AERO FIGHTERS Everyone 10+,Everyone 10+
Dino Frontier,Teen
Drawfighters,Everyone 10+
Dreadnought,Teen
Frisky Business ,Everyone 10+
It's Spring Again,Everyone
Patapon Remastered,Everyone
Shantae: Half-Genie Hero,Teen
The Long Dark,Teen
Destiny Everyone 10+,Teen
Sundered,Everyone 10+
Leaving Lyndow,Everyone
Ken Follett's The Pillars of the Earth,Teen
LawBreakers,Mature
Theseus,Teen
Vostok Inc.,Everyone 10+
A HEALER ONLY LIVES TWICE,Everyone 10+
Apollo EveryoneEveryone VR,Everyone
Circuit Breakers,Everyone 10+
Digital Domain's Monkey King,Teen
Fortnite,Teen
Heroes of the Seven Seas,Teen
Infinite Minigolf,Everyone
Pressure Overdrive,Everyone 10+
Pyre,Everyone 10+
Smashbox Arena,Everyone 10+
Super Cloudbuilt,Teen
Tiny Trax,Everyone
Unbox - Newbie's Adventure,Everyone
Marvel vs. Capcom: Infinite,Teen
INSIDE,Teen
Pillars of Eternity,Teen
Conga Master,Everyone
Chaos;Child,Teen
THE IDOLM@STER CINDERELLA GIRLS VIEWING REVOLUTION,Teen
Orcs Must Die! Unchained,Teen
RobotRiot: Hyper Edition,Everyone 10+
Archangel,Teen
99Vidas - The Game,Everyone 10+
Fallen Legion: Sins of an Empire,Everyone 10+
Children of Zodiarcs,Teen
Deadcore,Everyone
ACA NEOGEO FATAL FURY SPECIAL,Teen
Black the Fall,Teen
Derelict Fleet,Everyone 10+
Echoes of the Fey: The Fox's Trail,Teen
Fantastic Contraption,Everyone
IRON CRYPTICLE,Teen
Leap of Fate,Teen
Minecraft: Story Mode - Season Two - Hero in Residence,Everyone 10+
MotoGP™Everyone7,Everyone
Serial Cleaner,Teen
The Bellows,Teen
Warlocks vs Shadows,Everyone 10+
YamaYama,Everyone
theHunter: Call of the Wild,Teen
ACA NEOGEO PULSTAR,Everyone 10+
Accel World vs. Sword Art Online,Everyone 10+
Dead Alliance,Mature
CYBERDIMENSION NEPTUNIA: Teen GODDESSES ONLINE,Everyone 10+
Cities: Skylines,Everyone
WARRIORS ALL-STARS™,Teen
Jak Mature,Everyone
Jak and Daxter,Teen
Jak II,Everyone 10+
Jak X: Combat Racing,Everyone 10+
ACA NEOGEO Everyone 10+0Everyone 10+0 SUPER BASEBALL,Everyone
Cryptark,Teen
America's Army: Proving Grounds,Teen
Ancient Amuletor,Teen
Arizona Sunshine,Mature
Cavernous Wastes,Teen
Diablo III: Eternal Collection,Mature
Elite Dangerous: Legendary Edition,Everyone 10+
Medieval Defenders,Everyone 10+
Poi,Everyone 10+
The Tenth Line,Everyone 10+
The World of Nubla (Nubla Universe),Everyone
Brawlhalla,Everyone 10+
Dark Arcana: The Carnival,Teen
Energy Cycle,Everyone
SHINY,Everyone
Baja: Edge of Control HD,Everyone
Get Even,Mature
Grim Legends Everyone 10+: Song of the Dark Swan,Teen
SUPERHOT VR,Teen
Air Force Special Ops: Nightfall,Everyone 10+
Blasting Agent: Ultimate Edition,Everyone 10+
Chess Ultra,Everyone
Dead by Daylight,Mature
Everybody's Golf,Everyone 10+
I Want To Be Human,Mature
Island Flight Simulator,Everyone
Lili: Child of Geos,Everyone 10+
Nex Machina,Teen
Raiders of The Broken Planet,Teen
Tinertia,Everyone 10+
A hole new world,Teen
Resident Evil Revelations,Mature
Tour de France Everyone 10+0Everyone7,Everyone
Utawarerumono: Mask of Deception,Mature
ACA NEOGEO MAGICAL DROP II,Teen
Cars Mature: Driven to Win,Everyone 10+
Agents of Mayhem,Mature
ELEX,Teen
Mr Shifty,Teen
Pharaonic,Teen
Hunting Simulator,Teen
Redout,Everyone
Damascus Gear: Operation Tokyo HD Edition,Teen
ACA NEOGEO KING OF THE MONSTERS,Everyone 10+
Perception,Teen
Cladun Returns: This Is Sengoku!,Everyone 10+
DiRT Teen,Everyone
Energy Balance,Everyone
Jump Stars,Everyone
Mega Man Legacy Collection Everyone 10+,Everyone 10+
Neighborhorde,Everyone 10+
Plague Road,Teen
Randall,Teen
Skylight Freerange,Mature
Special Delivery,Everyone 10+
Yonder: The Cloud Catcher Chronicles,Everyone 10+
ACA NEOGEO METAL SLUG Everyone 10+,Teen
SpeedRunners,Everyone
Thea: The Awakening,Teen
Tokyo TeenEveryone 10+,Teen
Crossout,Teen
Danger Zone,Everyone 10+
Oh...Sir! The Insult Simulator,Teen
Paddle Vs. Paddle,Everyone
Polarity: Ultimate Edition,Everyone 10+
Friday the EveryoneMatureth: The Game,Mature
Guilty Gear Xrd REV Everyone 10+,Mature
GWENT: The Witcher card game,Teen
BUGSBOX,Everyone
ACA NEOGEO WORLD HEROES Everyone 10+,Teen
Deliriant,Teen
Embers of Mirrim,Everyone
Pox Nora,Teen
Puzzle Showdown TeenK,Everyone
SmuggleCraft,Teen
Spellspire,Everyone 10+
Star Ocean Till the End of Time,Teen
CHROMA SQUAD,Teen
Shadow Warrior Everyone 10+,Mature
Skylar & Plux: Adventure on Clover Island,Everyone
ACA NEOGEO THE LAST BLADE,Teen
Sonic Mania,Everyone
Black & White Bushido,Teen
Future Unfolding,Everyone
Tango Fiesta,Teen
The Surge,Mature
White Day: A Labyrinth Named School,Teen
Danganronpa Another Episode: Ultra Despair Girls,Teen
Narcosis,Mature
Blade & Bones,Teen
